index_all,date,info.match_type,info.neutral_venue,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.winner,info.overs,info.teams,info.toss.decision,info.toss.winner
543,"[datetime.date(2006, 2, 24)]",T20,0,2,,South Africa,20,"['South Africa', 'Australia']",bat,South Africa
545,"[datetime.date(2006, 3, 3)]",ODI,0,196,,South Africa,50,"['South Africa', 'Australia']",bat,South Africa
546,"[datetime.date(2006, 3, 5)]",ODI,0,24,,Australia,50,"['South Africa', 'Australia']",field,South Africa
547,"[datetime.date(2006, 3, 10)]",ODI,0,,1,Australia,50,"['South Africa', 'Australia']",bat,South Africa
548,"[datetime.date(2006, 3, 12)]",ODI,0,,1,South Africa,50,"['South Africa', 'Australia']",bat,Australia
550,"[datetime.date(2006, 3, 19)]",ODI,0,,4,Pakistan,50,"['Sri Lanka', 'Pakistan']",field,Pakistan
551,"[datetime.date(2006, 3, 22)]",ODI,0,,4,Pakistan,50,"['Sri Lanka', 'Pakistan']",field,Pakistan
552,"[datetime.date(2006, 4, 29)]",ODI,0,,5,West Indies,50,"['West Indies', 'Zimbabwe']",field,West Indies
553,"[datetime.date(2006, 4, 30)]",ODI,0,98,,West Indies,50,"['West Indies', 'Zimbabwe']",bat,West Indies
554,"[datetime.date(2006, 5, 10)]",ODI,0,,10,West Indies,50,"['West Indies', 'Zimbabwe']",bat,Zimbabwe
556,"[datetime.date(2006, 5, 14)]",ODI,0,104,,West Indies,50,"['West Indies', 'Zimbabwe']",bat,West Indies
557,"[datetime.date(2006, 5, 20)]",ODI,0,1,,West Indies,50,"['West Indies', 'India']",field,India
558,"[datetime.date(2006, 5, 23)]",ODI,0,,4,West Indies,50,"['West Indies', 'India']",bat,India
559,"[datetime.date(2006, 5, 26)]",ODI,0,,6,West Indies,50,"['West Indies', 'India']",field,West Indies
560,"[datetime.date(2006, 5, 28)]",ODI,0,19,,West Indies,50,"['West Indies', 'India']",field,India
561,"[datetime.date(2006, 4, 18)]",ODI,1,,6,Pakistan,50,"['India', 'Pakistan']",bat,India
562,"[datetime.date(2006, 4, 19)]",ODI,1,51,,India,50,"['India', 'Pakistan']",bat,India
563,"[datetime.date(2007, 3, 13)]",ODI,0,54,,West Indies,50,"['West Indies', 'Pakistan']",field,Pakistan
568,"[datetime.date(2007, 3, 16)]",ODI,1,,6,New Zealand,50,"['England', 'New Zealand']",field,New Zealand
569,"[datetime.date(2007, 3, 17)]",ODI,1,,5,Bangladesh,50,"['Bangladesh', 'India']",bat,India
574,"[datetime.date(2007, 3, 19)]",ODI,0,,6,West Indies,50,"['West Indies', 'Zimbabwe']",field,West Indies
581,"[datetime.date(2007, 3, 23)]",ODI,1,69,,Sri Lanka,50,"['India', 'Sri Lanka']",field,India
583,"[datetime.date(2007, 3, 24)]",ODI,1,83,,Australia,50,"['Australia', 'South Africa']",field,South Africa
586,"[datetime.date(2007, 3, 27), datetime.date(2007, 3, 28)]",ODI,0,103,,Australia,50,"['West Indies', 'Australia']",field,West Indies
587,"[datetime.date(2007, 3, 28)]",ODI,1,,1,South Africa,50,"['South Africa', 'Sri Lanka']",bat,Sri Lanka
588,"[datetime.date(2007, 3, 29)]",ODI,0,,7,New Zealand,50,"['West Indies', 'New Zealand']",field,New Zealand
590,"[datetime.date(2007, 3, 31)]",ODI,1,,10,Australia,50,"['Australia', 'Bangladesh']",field,Australia
591,"[datetime.date(2007, 4, 1)]",ODI,0,113,,Sri Lanka,50,"['West Indies', 'Sri Lanka']",field,West Indies
592,"[datetime.date(2007, 4, 2)]",ODI,1,,9,New Zealand,50,"['Bangladesh', 'New Zealand']",field,New Zealand
594,"[datetime.date(2007, 4, 4)]",ODI,1,2,,Sri Lanka,50,"['England', 'Sri Lanka']",field,England
595,"[datetime.date(2007, 4, 7)]",ODI,1,67,,Bangladesh,50,"['Bangladesh', 'South Africa']",field,South Africa
596,"[datetime.date(2007, 4, 8)]",ODI,1,,7,Australia,50,"['Australia', 'England']",bat,England
598,"[datetime.date(2007, 4, 10)]",ODI,0,67,,South Africa,50,"['West Indies', 'South Africa']",field,West Indies
599,"[datetime.date(2007, 4, 11)]",ODI,1,,4,England,50,"['Bangladesh', 'England']",field,England
600,"[datetime.date(2007, 4, 12)]",ODI,1,,6,Sri Lanka,50,"['New Zealand', 'Sri Lanka']",bat,New Zealand
602,"[datetime.date(2007, 4, 14)]",ODI,1,,5,New Zealand,50,"['New Zealand', 'South Africa']",field,New Zealand
604,"[datetime.date(2007, 4, 16)]",ODI,1,,7,Australia,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
605,"[datetime.date(2007, 4, 17)]",ODI,1,,9,South Africa,50,"['England', 'South Africa']",bat,England
607,"[datetime.date(2007, 4, 19)]",ODI,0,99,,West Indies,50,"['West Indies', 'Bangladesh']",field,Bangladesh
608,"[datetime.date(2007, 4, 20)]",ODI,1,215,,Australia,50,"['Australia', 'New Zealand']",bat,Australia
609,"[datetime.date(2007, 4, 21)]",ODI,0,,1,England,50,"['West Indies', 'England']",field,England
610,"[datetime.date(2007, 4, 24)]",ODI,1,81,,Sri Lanka,50,"['New Zealand', 'Sri Lanka']",bat,Sri Lanka
611,"[datetime.date(2007, 4, 25)]",ODI,1,,7,Australia,50,"['Australia', 'South Africa']",bat,South Africa
613,"[datetime.date(2006, 8, 6)]",ODI,0,,8,Bangladesh,50,"['Zimbabwe', 'Bangladesh']",bat,Zimbabwe
614,"[datetime.date(2006, 11, 22)]",ODI,0,157,,South Africa,50,"['South Africa', 'India']",bat,South Africa
615,"[datetime.date(2006, 11, 26)]",ODI,0,106,,South Africa,50,"['South Africa', 'India']",bat,South Africa
616,"[datetime.date(2006, 11, 29)]",ODI,0,80,,South Africa,50,"['South Africa', 'India']",bat,South Africa
617,"[datetime.date(2006, 12, 3)]",ODI,0,,9,South Africa,50,"['South Africa', 'India']",field,South Africa
618,"[datetime.date(2007, 1, 9)]",T20,0,77,,Australia,20,"['Australia', 'England']",bat,Australia
619,"[datetime.date(2007, 1, 14)]",ODI,0,105,,Australia,50,"['Australia', 'New Zealand']",bat,Australia
620,"[datetime.date(2007, 1, 21)]",ODI,0,,2,Australia,50,"['Australia', 'New Zealand']",bat,New Zealand
621,"[datetime.date(2007, 1, 28)]",ODI,0,8,,Australia,50,"['Australia', 'New Zealand']",bat,Australia
622,"[datetime.date(2007, 2, 4)]",ODI,0,,5,Australia,50,"['Australia', 'New Zealand']",bat,New Zealand
623,"[datetime.date(2007, 1, 12)]",ODI,0,,8,Australia,50,"['Australia', 'England']",bat,England
624,"[datetime.date(2007, 1, 19)]",ODI,0,,4,Australia,50,"['Australia', 'England']",bat,England
625,"[datetime.date(2007, 1, 26)]",ODI,0,,9,Australia,50,"['Australia', 'England']",bat,England
626,"[datetime.date(2007, 2, 2)]",ODI,0,92,,England,50,"['Australia', 'England']",bat,England
627,"[datetime.date(2007, 1, 16)]",ODI,1,,3,England,50,"['England', 'New Zealand']",bat,New Zealand
628,"[datetime.date(2007, 1, 23)]",ODI,1,90,,New Zealand,50,"['England', 'New Zealand']",bat,New Zealand
629,"[datetime.date(2007, 1, 30)]",ODI,1,58,,New Zealand,50,"['England', 'New Zealand']",bat,New Zealand
630,"[datetime.date(2007, 2, 6)]",ODI,1,14,,England,50,"['England', 'New Zealand']",bat,England
631,"[datetime.date(2007, 2, 9)]",ODI,0,,4,England,50,"['Australia', 'England']",bat,Australia
636,"[datetime.date(2006, 10, 7)]",ODI,1,37,,Sri Lanka,50,"['Bangladesh', 'Sri Lanka']",field,Bangladesh
637,"[datetime.date(2006, 10, 8)]",ODI,1,,9,West Indies,50,"['West Indies', 'Zimbabwe']",bat,Zimbabwe
638,"[datetime.date(2006, 10, 10)]",ODI,1,144,,Sri Lanka,50,"['Sri Lanka', 'Zimbabwe']",bat,Sri Lanka
639,"[datetime.date(2006, 10, 11)]",ODI,1,,10,West Indies,50,"['Bangladesh', 'West Indies']",bat,Bangladesh
640,"[datetime.date(2006, 10, 13)]",ODI,1,101,,Bangladesh,50,"['Bangladesh', 'Zimbabwe']",field,Zimbabwe
641,"[datetime.date(2006, 10, 14)]",ODI,1,,9,Sri Lanka,50,"['Sri Lanka', 'West Indies']",bat,West Indies
642,"[datetime.date(2006, 10, 15)]",ODI,0,,4,India,50,"['India', 'England']",field,India
643,"[datetime.date(2006, 10, 16)]",ODI,1,87,,New Zealand,50,"['New Zealand', 'South Africa']",field,South Africa
644,"[datetime.date(2006, 10, 17)]",ODI,1,,4,Pakistan,50,"['Pakistan', 'Sri Lanka']",bat,Sri Lanka
645,"[datetime.date(2006, 10, 18)]",ODI,1,10,,West Indies,50,"['Australia', 'West Indies']",bat,West Indies
646,"[datetime.date(2006, 10, 20)]",ODI,1,,7,Sri Lanka,50,"['New Zealand', 'Sri Lanka']",bat,New Zealand
647,"[datetime.date(2006, 10, 21)]",ODI,1,,6,Australia,50,"['Australia', 'England']",field,Australia
648,"[datetime.date(2006, 10, 24)]",ODI,1,78,,South Africa,50,"['South Africa', 'Sri Lanka']",field,Sri Lanka
649,"[datetime.date(2006, 10, 25)]",ODI,1,51,,New Zealand,50,"['New Zealand', 'Pakistan']",field,Pakistan
650,"[datetime.date(2006, 10, 26)]",ODI,0,,3,West Indies,50,"['India', 'West Indies']",field,West Indies
651,"[datetime.date(2006, 10, 27)]",ODI,1,124,,South Africa,50,"['Pakistan', 'South Africa']",bat,South Africa
652,"[datetime.date(2006, 10, 28)]",ODI,1,,3,England,50,"['England', 'West Indies']",bat,West Indies
653,"[datetime.date(2006, 10, 29)]",ODI,0,,6,Australia,50,"['India', 'Australia']",bat,India
654,"[datetime.date(2006, 11, 1)]",ODI,1,34,,Australia,50,"['Australia', 'New Zealand']",field,New Zealand
655,"[datetime.date(2006, 11, 2)]",ODI,1,,6,West Indies,50,"['South Africa', 'West Indies']",bat,South Africa
657,"[datetime.date(2007, 2, 4)]",ODI,0,164,,South Africa,50,"['South Africa', 'Pakistan']",field,Pakistan
658,"[datetime.date(2007, 2, 7)]",ODI,0,141,,Pakistan,50,"['South Africa', 'Pakistan']",bat,Pakistan
660,"[datetime.date(2007, 2, 11)]",ODI,0,,10,South Africa,50,"['South Africa', 'Pakistan']",field,South Africa
661,"[datetime.date(2007, 2, 14)]",ODI,0,,9,South Africa,50,"['South Africa', 'Pakistan']",bat,Pakistan
663,"[datetime.date(2006, 12, 26)]",T20,0,,5,New Zealand,20,"['New Zealand', 'Sri Lanka']",field,New Zealand
664,"[datetime.date(2006, 12, 28)]",ODI,0,,7,Sri Lanka,50,"['New Zealand', 'Sri Lanka']",bat,New Zealand
666,"[datetime.date(2007, 1, 6)]",ODI,0,189,,Sri Lanka,50,"['New Zealand', 'Sri Lanka']",bat,Sri Lanka
